commit,commit_date,fom_mutants,mutants_on_change,som_mutants,mutants_gran,relevant_mutants,not_relevant_mutants,minimal_mutants,equivalent,minimal_relevant_mutants,MS,total_tests,relevant_tests,project,project_url
84a844af5d30ea41750071dc8140a56e9e146bc8,11/19/2013 - 00:31:19,91,1,90,85,2,82,19,11,2,87.06,23,1,commons-collections,https://github.com/apache/commons-collections.git
6f95e26fc92e929fde30d592e7572493d360ea3d,11/19/2013 - 00:31:39,91,1,90,85,47,37,25,9,15,89.41,24,24,commons-collections,https://github.com/apache/commons-collections.git
fc3d530961ce4f23fd2c8310f82d6d1fdaae6c16,11/19/2013 - 00:32:15,228,8,1760,228,51,169,44,38,12,83.33,31,20,commons-collections,https://github.com/apache/commons-collections.git
53c08a37ef81ed2aa3ab57f5933ebbc5db68328b,11/19/2013 - 00:32:29,154,1,152,153,124,28,31,27,30,82.35,42,41,commons-collections,https://github.com/apache/commons-collections.git
bd861c0d8009bbd51137bb97d15d5aeb8902eb2f,11/19/2013 - 00:32:43,115,8,856,115,39,68,19,22,17,80.87,18,18,commons-collections,https://github.com/apache/commons-collections.git
bae09b4838de43ab6a8be25ee25d0d11f0fe7477,11/19/2013 - 00:36:51,105,3,306,105,88,14,43,14,43,86.67,29,28,commons-collections,https://github.com/apache/commons-collections.git
07d54f167694d14cd28db703ee2eac99aa74d2ed,11/20/2013 - 21:13:35,428,3,194,121,71,47,28,11,20,90.91,29,18,commons-collections,https://github.com/apache/commons-collections.git
393fa5df9262c339e004e061809c73d7637a909b,11/26/2013 - 21:11:29,464,2,923,464,128,334,15,102,3,78.02,22,14,commons-collections,https://github.com/apache/commons-collections.git
59899e1c820cd3fb8789b9cf8648b269b97763be,11/27/2013 - 21:50:47,154,1,152,153,14,138,15,37,6,75.82,31,29,commons-collections,https://github.com/apache/commons-collections.git
c61154272699761265a1f2e5282ff1bdaf714b6a,10/30/2014 - 12:23:10,702,15,6525,450,275,160,249,127,206,71.78,97,96,commons-collections,https://github.com/apache/commons-collections.git
f0b18d27f01492af6874baa8415ad17511eb5d4b,10/30/2014 - 12:24:46,2302,142,182752,1429,53,1234,746,683,27,52.2,16,3,commons-collections,https://github.com/apache/commons-collections.git
e57282bd9cdde1c4f707dbe111459b4f8e370bde,05/27/2015 - 21:18:19,755,95,15065,470,29,346,235,106,18,77.45,80,29,commons-collections,https://github.com/apache/commons-collections.git
9cb3de671396635382b6a5052a67a12d752a2b01,05/27/2015 - 21:34:35,1095,22,8583,924,246,656,343,274,143,70.35,64,34,commons-collections,https://github.com/apache/commons-collections.git
d684f950c4a29d10097590cbe4346ad6e82e5e25,06/01/2015 - 21:53:01,3293,191,198369,2442,363,1888,1189,509,177,79.16,223,155,commons-collections,https://github.com/apache/commons-collections.git
bafb7096f0518bb2dfc845564e821c94c9f7cdc7,06/04/2015 - 21:12:09,716,20,4547,542,350,172,208,127,170,76.57,93,91,commons-collections,https://github.com/apache/commons-collections.git
ed39f93348bec6fc6df694b54bdf9b70503404b0,06/05/2015 - 14:06:47,735,12,2412,556,440,104,118,70,125,87.41,147,147,commons-collections,https://github.com/apache/commons-collections.git
